poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	5	0.0005	11.166666666666666	95.83333333333333	1.8333333333333428
0.01	5	0.001	11.5	98.66666666666667	-1.0
0.01	20	0.0005	11.166666666666666	97.0	0.6666666666666714
0.01	20	0.001	10.5	98.16666666666667	-0.5
0.01	50	0.0005	12.333333333333334	95.83333333333333	1.8333333333333428
0.01	50	0.001	13.666666666666666	98.5	-0.8333333333333286
0.05	5	0.0005	11.5	95.33333333333333	2.333333333333343
0.05	5	0.001	11.333333333333334	98.33333333333333	-0.6666666666666572
0.05	20	0.0005	11.333333333333334	97.33333333333333	0.3333333333333428
0.05	20	0.001	16.833333333333332	96.66666666666667	1.0
0.05	50	0.0005	51.666666666666664	97.66666666666667	0.0
0.05	50	0.001	87.0	97.33333333333333	0.3333333333333428
0.1	5	0.0005	13.5	94.5	3.1666666666666714
0.1	5	0.001	11.666666666666666	97.5	0.1666666666666714
0.1	20	0.0005	11.666666666666666	95.66666666666667	2.0
0.1	20	0.001	75.0	97.5	0.1666666666666714
0.1	50	0.0005	75.16666666666667	97.0	0.6666666666666714
0.1	50	0.001	80.0	97.0	0.6666666666666714
