poisoning_rate	decay	delay	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	0.3	75	23.333333333333332	78.33333333333333	4.833333333333343
0.01	0.3	150	5.925925925925926	76.83333333333333	6.333333333333343
0.01	0.6	75	31.85185185185185	77.5	5.666666666666671
0.01	0.6	150	18.333333333333332	77.0	6.166666666666671
0.05	0.3	75	57.96296296296296	72.83333333333333	10.333333333333343
0.05	0.3	150	26.666666666666668	79.16666666666667	4.0
0.05	0.6	75	68.14814814814815	79.16666666666667	4.0
0.05	0.6	150	52.592592592592595	82.0	1.1666666666666714
0.1	0.3	75	72.4074074074074	74.33333333333333	8.833333333333343
0.1	0.3	150	56.2962962962963	80.5	2.6666666666666714
0.1	0.6	75	63.7037037037037	85.66666666666667	-2.5
0.1	0.6	150	56.48148148148148	71.66666666666667	11.5
