poisoning_rate	decay	delay	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	0.3	75	0.0	98.83333333333333	0.1666666666666714
0.01	0.3	150	0.0	97.66666666666667	1.3333333333333286
0.01	0.6	75	0.3703703703703704	99.16666666666667	-0.1666666666666714
0.01	0.6	150	0.3703703703703704	99.0	0.0
0.05	0.3	75	10.185185185185185	98.66666666666667	0.3333333333333286
0.05	0.3	150	13.333333333333334	97.83333333333334	1.1666666666666572
0.05	0.6	75	70.92592592592592	96.5	2.5
0.05	0.6	150	42.592592592592595	96.83333333333334	2.166666666666657
0.1	0.3	75	83.14814814814815	93.33333333333333	5.666666666666671
0.1	0.3	150	81.66666666666667	90.66666666666666	8.333333333333343
0.1	0.6	75	96.66666666666667	83.33333333333334	15.666666666666657
0.1	0.6	150	95.37037037037037	91.33333333333333	7.666666666666671
