poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	20	0.05	10.555555555555555	81.0	2.1666666666666714
0.01	20	0.3	0.5555555555555556	81.33333333333333	1.8333333333333428
0.01	20	1.0	41.2962962962963	82.0	1.1666666666666714
0.01	100	0.05	15.37037037037037	72.5	10.666666666666671
0.01	100	0.3	6.666666666666667	81.0	2.1666666666666714
0.01	100	1.0	8.703703703703704	77.33333333333333	5.833333333333343
0.01	1000	0.05	2.037037037037037	84.66666666666667	-1.5
0.01	1000	0.3	20.74074074074074	84.33333333333333	-1.1666666666666572
0.01	1000	1.0	57.77777777777778	82.66666666666667	0.5
0.01	5000	0.05	4.2592592592592595	83.0	0.1666666666666714
0.01	5000	0.3	72.22222222222223	84.33333333333333	-1.1666666666666572
0.01	5000	1.0	85.37037037037037	75.16666666666667	8.0
0.05	20	0.05	19.444444444444443	72.83333333333333	10.333333333333343
0.05	20	0.3	68.14814814814815	75.66666666666667	7.5
0.05	20	1.0	93.70370370370371	73.5	9.666666666666671
0.05	100	0.05	10.37037037037037	81.33333333333333	1.8333333333333428
0.05	100	0.3	7.962962962962963	79.33333333333333	3.833333333333343
0.05	100	1.0	54.074074074074076	77.33333333333333	5.833333333333343
0.05	1000	0.05	9.62962962962963	75.0	8.166666666666671
0.05	1000	0.3	45.18518518518518	77.5	5.666666666666671
0.05	1000	1.0	96.85185185185185	82.5	0.6666666666666714
0.05	5000	0.05	14.25925925925926	75.5	7.666666666666671
0.05	5000	0.3	95.0	80.0	3.1666666666666714
0.05	5000	1.0	100.0	83.33333333333333	-0.1666666666666572
0.1	20	0.05	14.074074074074074	76.16666666666667	7.0
0.1	20	0.3	91.11111111111111	76.83333333333333	6.333333333333343
0.1	20	1.0	98.70370370370371	74.5	8.666666666666671
0.1	100	0.05	12.592592592592593	79.33333333333333	3.833333333333343
0.1	100	0.3	19.444444444444443	75.16666666666667	8.0
0.1	100	1.0	48.888888888888886	82.33333333333333	0.8333333333333428
0.1	1000	0.05	19.444444444444443	76.33333333333333	6.833333333333343
0.1	1000	0.3	67.4074074074074	80.0	3.1666666666666714
0.1	1000	1.0	94.81481481481481	83.83333333333333	-0.6666666666666572
0.1	5000	0.05	18.703703703703702	74.33333333333333	8.833333333333343
0.1	5000	0.3	96.85185185185185	74.66666666666667	8.5
0.1	5000	1.0	99.81481481481481	83.33333333333333	-0.1666666666666572
