poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	5	0.0005	11.666666666666666	80.16666666666667	3.0
0.01	5	0.001	2.962962962962963	68.66666666666667	14.5
0.01	20	0.0005	3.888888888888889	82.16666666666667	1.0
0.01	20	0.001	15.37037037037037	78.0	5.166666666666671
0.01	50	0.0005	32.22222222222222	79.0	4.166666666666671
0.01	50	0.001	26.296296296296298	77.5	5.666666666666671
0.05	5	0.0005	5.555555555555555	84.5	-1.3333333333333286
0.05	5	0.001	5.0	83.5	-0.3333333333333286
0.05	20	0.0005	12.962962962962964	79.33333333333333	3.833333333333343
0.05	20	0.001	69.81481481481481	84.0	-0.8333333333333286
0.05	50	0.0005	61.48148148148148	83.66666666666667	-0.5
0.05	50	0.001	78.88888888888889	73.16666666666667	10.0
0.1	5	0.0005	25.0	66.66666666666667	16.5
0.1	5	0.001	15.37037037037037	73.0	10.166666666666671
0.1	20	0.0005	57.22222222222222	74.66666666666667	8.5
0.1	20	0.001	81.11111111111111	80.83333333333333	2.333333333333343
0.1	50	0.0005	87.5925925925926	68.5	14.666666666666671
0.1	50	0.001	89.81481481481481	77.5	5.666666666666671
