poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	5	0.0005	0.0	98.33333333333333	0.6666666666666714
0.01	5	0.001	0.1851851851851852	99.16666666666667	-0.1666666666666714
0.01	20	0.0005	0.1851851851851852	98.0	1.0
0.01	20	0.001	4.2592592592592595	98.33333333333333	0.6666666666666714
0.01	50	0.0005	5.9259259259259265	98.16666666666667	0.8333333333333286
0.01	50	0.001	25.74074074074074	98.5	0.5
0.05	5	0.0005	1.6666666666666667	97.33333333333334	1.6666666666666572
0.05	5	0.001	0.1851851851851852	98.33333333333333	0.6666666666666714
0.05	20	0.0005	25.925925925925924	97.5	1.5
0.05	20	0.001	83.14814814814815	97.5	1.5
0.05	50	0.0005	98.88888888888889	95.33333333333334	3.666666666666657
0.05	50	0.001	92.77777777777779	96.83333333333334	2.166666666666657
0.1	5	0.0005	16.296296296296298	94.33333333333334	4.666666666666657
0.1	5	0.001	24.444444444444443	77.83333333333333	21.16666666666667
0.1	20	0.0005	80.55555555555556	66.33333333333333	32.66666666666667
0.1	20	0.001	100.0	45.5	53.5
0.1	50	0.0005	99.81481481481481	59.833333333333336	39.166666666666664
0.1	50	0.001	100.0	55.833333333333336	43.166666666666664
