poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	5	0.0005	0.5555555555555556	98.0	-1.1666666666666714
0.01	5	0.001	0.0	99.33333333333333	-2.5
0.01	20	0.0005	0.9259259259259259	98.83333333333333	-2.0
0.01	20	0.001	8.88888888888889	99.5	-2.6666666666666714
0.01	50	0.0005	0.37037037037037035	98.33333333333333	-1.5
0.01	50	0.001	35.0	99.5	-2.6666666666666714
0.05	5	0.0005	0.0	99.33333333333333	-2.5
0.05	5	0.001	8.148148148148149	94.0	2.8333333333333286
0.05	20	0.0005	60.0	97.16666666666667	-0.3333333333333428
0.05	20	0.001	90.37037037037037	99.0	-2.1666666666666714
0.05	50	0.0005	88.88888888888889	98.0	-1.1666666666666714
0.05	50	0.001	99.62962962962963	98.0	-1.1666666666666714
0.1	5	0.0005	0.18518518518518517	99.83333333333333	-3.0
0.1	5	0.001	5.555555555555555	96.83333333333333	0.0
0.1	20	0.0005	91.29629629629629	97.83333333333333	-1.0
0.1	20	0.001	99.25925925925925	94.83333333333333	2.0
0.1	50	0.0005	93.51851851851852	96.5	0.3333333333333286
0.1	50	0.001	98.51851851851852	98.5	-1.6666666666666714
