poisoning_rate	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop	rate	depth
0.01	11.166666666666666	99.5	-1.0	5.0	0.0005
0.01	11.333333333333332	98.33333333333333	0.1666666666666714	5.0	0.001
0.01	11.5	98.5	0.0	20.0	0.0005
0.01	21.666666666666668	96.83333333333334	1.6666666666666572	20.0	0.001
0.01	11.5	98.66666666666667	-0.1666666666666714	50.0	0.0005
0.01	17.5	99.16666666666667	-0.6666666666666714	50.0	0.001
0.05	12.0	97.5	1.0	5.0	0.0005
0.05	11.5	97.83333333333334	0.6666666666666572	5.0	0.001
0.05	41.333333333333336	95.66666666666667	2.8333333333333286	20.0	0.0005
0.05	92.66666666666666	95.83333333333334	2.666666666666657	20.0	0.001
0.05	89.5	92.66666666666666	5.833333333333343	50.0	0.0005
0.05	99.16666666666667	94.5	4.0	50.0	0.001
0.1	23.833333333333336	93.83333333333333	4.666666666666671	5.0	0.0005
0.1	54.50000000000001	68.0	30.5	5.0	0.001
0.1	82.0	74.66666666666667	23.83333333333333	20.0	0.0005
0.1	99.83333333333333	70.5	28.0	20.0	0.001
0.1	88.83333333333333	70.33333333333334	28.166666666666657	50.0	0.0005
0.1	100.0	81.16666666666667	17.33333333333333	50.0	0.001
