poisoning_rate	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop	rate	depth
0.01	11.166666666666666	97.5	1.0	20.0	0.05
0.01	11.333333333333332	98.16666666666667	0.3333333333333286	20.0	0.3
0.01	11.5	99.0	-0.5	20.0	1.0
0.01	11.666666666666666	97.66666666666667	0.8333333333333286	1000.0	0.05
0.01	14.499999999999998	99.16666666666667	-0.6666666666666714	1000.0	0.3
0.01	43.333333333333336	98.16666666666667	0.3333333333333286	1000.0	1.0
0.01	11.666666666666666	97.33333333333334	1.1666666666666572	5000.0	0.05
0.01	11.5	98.5	0.0	5000.0	0.3
0.01	23.0	98.5	0.0	5000.0	1.0
0.05	11.833333333333334	97.33333333333334	1.1666666666666572	20.0	0.05
0.05	11.5	99.0	-0.5	20.0	0.3
0.05	83.0	97.66666666666667	0.8333333333333286	20.0	1.0
0.05	12.333333333333334	96.16666666666667	2.3333333333333286	1000.0	0.05
0.05	50.33333333333333	94.33333333333334	4.166666666666657	1000.0	0.3
0.05	96.66666666666667	86.5	12.0	1000.0	1.0
0.05	19.166666666666668	88.83333333333333	9.666666666666671	5000.0	0.05
0.05	54.666666666666664	69.66666666666667	28.83333333333333	5000.0	0.3
0.05	100.0	72.5	26.0	5000.0	1.0
0.1	32.5	73.66666666666667	24.83333333333333	20.0	0.05
0.1	93.83333333333333	19.5	79.0	20.0	0.3
0.1	100.0	38.666666666666664	59.833333333333336	20.0	1.0
0.1	88.0	20.0	78.5	1000.0	0.05
0.1	100.0	11.166666666666666	87.33333333333333	1000.0	0.3
0.1	100.0	11.166666666666666	87.33333333333333	1000.0	1.0
0.1	99.16666666666667	13.0	85.5	5000.0	0.05
0.1	100.0	11.166666666666666	87.33333333333333	5000.0	0.3
0.1	100.0	11.166666666666666	87.33333333333333	5000.0	1.0
