poisoning_rate	decay	delay	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	0.3	75	0.9259259259259259	98.33333333333333	-1.5
0.01	0.3	150	0.0	98.33333333333333	-1.5
0.01	0.6	75	0.0	99.66666666666667	-2.833333333333343
0.01	0.6	150	1.1111111111111112	99.33333333333333	-2.5
0.05	0.3	75	65.92592592592592	98.83333333333333	-2.0
0.05	0.3	150	0.37037037037037035	98.83333333333333	-2.0
0.05	0.6	75	72.96296296296296	95.16666666666667	1.6666666666666572
0.05	0.6	150	1.1111111111111112	98.66666666666667	-1.8333333333333428
0.1	0.3	75	71.48148148148148	99.16666666666667	-2.333333333333343
0.1	0.3	150	10.74074074074074	98.83333333333333	-2.0
0.1	0.6	75	97.96296296296296	97.0	-0.1666666666666714
0.1	0.6	150	30.74074074074074	98.16666666666667	-1.3333333333333428
